DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT13,2002,1571123,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT13,2003,1592846,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT13,2004,1610409,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT13,2005,1632568,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT13,2006,1652448,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT13,2007,1661246,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT13,2008,1671221,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT13,2009,1680135,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT13,2010,1689995,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT13,2011,1702855,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT13,2012,1717084,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT13,2013,1741246,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT13,2014,1766746,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT13,2015,1797337,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT13,2016,1840226,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT13,2017,1867582,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT13,2018,1888776,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT13,2019,1897491,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT13,2020,1911191,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT21,2000,560696,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT21,2001,559571,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT21,2002,559933,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT21,2003,558623,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT21,2004,558026,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT21,2005,558926,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT21,2006,559277,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT21,2007,559393,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT21,2008,559715,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT21,2009,559462,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT21,2010,557998,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT21,2011,556718,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT21,2012,556027,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT21,2013,555473,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT21,2014,555881,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT21,2015,557641,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT21,2016,560482,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT21,2017,561077,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT21,2018,560898,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT21,2019,560939,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT21,2020,561293,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT22,2000,1182930,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT22,2001,1182441,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT22,2002,1188117,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT22,2003,1189315,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT22,2004,1192168,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT22,2005,1196780,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT22,2006,1200854,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT22,2007,1202483,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT22,2008,1203701,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT22,2009,1204795,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT22,2010,1205045,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT22,2011,1206611,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT22,2012,1208696,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT22,2013,1210971,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT22,2014,1215246,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT22,2015,1221570,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT22,2016,1232012,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT22,2017,1237298,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT22,2018,1240214,
ESTAT:DEMO_R_PJANGROUP(1.0),02/06/22 23:00:00,A,NR,T,TOTAL,AT22,2019,1243052,
