DATAFLOW,LAST UPDATE,freq,tra_infr,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT13,2010,43,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT13,2011,43,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT13,2012,43,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT13,2013,43,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT13,2014,43,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT13,2015,43,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT13,2016,43,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT13,2017,43,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT13,2018,43,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT13,2019,43,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT13,2020,43,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT21,2000,249,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT21,2001,247,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT21,2002,245,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT21,2003,245,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT21,2004,245,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT21,2005,245,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT21,2006,243,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT21,2007,243,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT21,2008,243,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT21,2009,243,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT21,2010,243,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT21,2011,243,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT21,2012,243,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT21,2013,243,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT21,2014,243,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT21,2015,243,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT21,2016,243,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT21,2017,243,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT21,2018,243,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT21,2019,243,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT21,2020,243,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT22,2000,309,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT22,2001,309,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT22,2002,309,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT22,2003,309,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT22,2004,309,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT22,2005,308,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT22,2006,308,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT22,2007,308,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT22,2008,308,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT22,2009,308,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT22,2010,308,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT22,2011,308,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT22,2012,308,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT22,2013,308,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT22,2014,308,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT22,2015,308,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT22,2016,308,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT22,2017,308,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT22,2018,308,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT22,2019,308,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT22,2020,308,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT31,2000,264,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT31,2001,264,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT31,2002,264,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT31,2003,264,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT31,2004,289,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT31,2005,299,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT31,2006,299,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT31,2007,299,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT31,2008,299,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT31,2009,299,
